msoa21cd,msoa21nm,index_domain,msoa_average_score,msoa_average_score_rank
E02001279,Timperley North,Living Environment,10.516604659628687,24
E02001280,Timperley East,Barriers to Housing and Services,15.512734533051047,6
E02001280,Timperley East,Crime,0.4543448600329334,5
E02001280,Timperley East,"Education, Skills and Training",15.18225993883792,8
E02001280,Timperley East,Employment,0.17266235864297252,5
E02001280,Timperley East,Health and Disability,0.27033345095271694,7
E02001280,Timperley East,Income,0.26403669724770645,6
E02001280,Timperley East,Income Deprivation Affecting Children,0.3582991169977925,5
E02001280,Timperley East,Income Deprivation Affecting Older People,0.2031974730931212,10
E02001280,Timperley East,Index of Multiple Deprivation,21.835126911314987,8
E02001280,Timperley East,Living Environment,10.336493648553281,25
E02001281,Timperley South,Barriers to Housing and Services,9.46972962915437,16
E02001281,Timperley South,Crime,-0.6644652893622481,25
E02001281,Timperley South,"Education, Skills and Training",1.0577850635185422,26
E02001281,Timperley South,Employment,0.04696314213314905,27
E02001281,Timperley South,Health and Disability,-1.200292826895932,25
E02001281,Timperley South,Income,0.055001154882586945,26
E02001281,Timperley South,Income Deprivation Affecting Children,0.050225765306122445,27
E02001281,Timperley South,Income Deprivation Affecting Older People,0.06331148973350809,25
E02001281,Timperley South,Index of Multiple Deprivation,3.491167201334531,27
E02001281,Timperley South,Living Environment,17.53112896188888,19
E02001282,Altrincham East,Barriers to Housing and Services,10.582485501567398,12
E02001282,Altrincham East,Crime,-0.1583185736677116,15
E02001282,Altrincham East,"Education, Skills and Training",1.7367591105015674,20
E02001282,Altrincham East,Employment,0.06243490566037736,22
E02001282,Altrincham East,Health and Disability,-0.587852762539185,18
E02001282,Altrincham East,Income,0.09747658699059562,16
E02001282,Altrincham East,Income Deprivation Affecting Children,0.10150438047559451,17
E02001282,Altrincham East,Income Deprivation Affecting Older People,0.1301742596810934,15
E02001282,Altrincham East,Index of Multiple Deprivation,8.04310697492163,18
E02001282,Altrincham East,Living Environment,31.733096590909092,8
E02001283,"Altrincham West, Dunham & Warburton",Barriers to Housing and Services,16.326492227979273,5
E02001283,"Altrincham West, Dunham & Warburton",Crime,-0.17408248704663212,16
E02001283,"Altrincham West, Dunham & Warburton","Education, Skills and Training",2.7321396891191707,17
E02001283,"Altrincham West, Dunham & Warburton",Employment,0.06300034566194261,21
E02001283,"Altrincham West, Dunham & Warburton",Health and Disability,-0.9780283937823835,24
E02001283,"Altrincham West, Dunham & Warburton",Income,0.08651295336787565,19
E02001283,"Altrincham West, Dunham & Warburton",Income Deprivation Affecting Children,0.10356976127320953,16
E02001283,"Altrincham West, Dunham & Warburton",Income Deprivation Affecting Older People,0.0935836284927194,18
E02001283,"Altrincham West, Dunham & Warburton",Index of Multiple Deprivation,7.608798756476683,19
E02001283,"Altrincham West, Dunham & Warburton",Living Environment,17.654920621761658,18
E02001284,Hale,Barriers to Housing and Services,8.559484067712223,19
E02001284,Hale,Crime,-0.6959311675379637,26
E02001284,Hale,"Education, Skills and Training",0.32971371670400795,28
E02001284,Hale,Employment,0.035314256198347105,28
E02001284,Hale,Health and Disability,-1.3975596216081654,28
E02001284,Hale,Income,0.0472428429176002,27
E02001284,Hale,Income Deprivation Affecting Children,0.053454495311638164,26
E02001284,Hale,Income Deprivation Affecting Older People,0.049075376884422116,28
E02001284,Hale,Index of Multiple Deprivation,4.296859347771969,25
E02001284,Hale,Living Environment,29.877787030121983,11
E02001285,Bowdon,Barriers to Housing and Services,11.684169404517453,10
E02001285,Bowdon,Crime,-0.4805182238193018,22
E02001285,Bowdon,"Education, Skills and Training",1.3212204825462013,23
E02001285,Bowdon,Employment,0.06590659340659341,20
E02001285,Bowdon,Health and Disability,-0.9466383470225873,23
E02001285,Bowdon,Income,0.08175205338809034,21
E02001285,Bowdon,Income Deprivation Affecting Children,0.10132514044943819,18
E02001285,Bowdon,Income Deprivation Affecting Older People,0.06605975609756098,24
E02001285,Bowdon,Index of Multiple Deprivation,7.03955159137577,20
E02001285,Bowdon,Living Environment,25.787780030800818,13
E02001286,Hale Barns,Barriers to Housing and Services,22.310605530946965,2
E02001286,Hale Barns,Crime,-0.5464818628037831,23
E02001286,Hale Barns,"Education, Skills and Training",2.149279540284928,19
E02001286,Hale Barns,Employment,0.05583210373351218,25
E02001286,Hale Barns,Health and Disability,-1.3892814557643962,27
E02001286,Hale Barns,Income,0.07303148569376272,23
E02001286,Hale Barns,Income Deprivation Affecting Children,0.07292737430167599,23
E02001286,Hale Barns,Income Deprivation Affecting Older People,0.0809311305732484,20
E02001286,Hale Barns,Index of Multiple Deprivation,5.763725248413743,23
E02001286,Hale Barns,Living Environment,7.413857775649467,26
