wd18cd,wd18nm,lad18cd,lad18nm,Index of Multiple Deprivation,Barriers to Housing and Services,Crime,"Education, Skills and Training",Employment,Health and Disability,Income,Income Deprivation Affecting Children,Income Deprivation Affecting Older People,Living Environment
E05000813,Hyde Werneth,E08000008,Tameside,26.4,18,0.7,22.7,0.1,0.7,0.1,0.2,0.1,30
E05000765,Irlam,E08000006,Salford,26.1,14.7,-0.1,36.9,0.1,0.7,0.2,0.2,0.2,13.6
E05000663,Kearsley,E08000001,Bolton,25.7,13,0.5,25.9,0.1,0.7,0.1,0.2,0.2,24.2
E05000683,St Mary's,E08000002,Bury,25.5,15.9,0.6,12.2,0.1,0.5,0.1,0.2,0.2,21.2
E05000796,Offerton,E08000007,Stockport,25.4,14.3,0.4,27.8,0.1,0.6,0.1,0.2,0.1,11.2
E05000853,Leigh South,E08000010,Wigan,25.4,12.4,0.3,24.3,0.1,0.5,0.2,0.2,0.2,14.7
E05000721,Chadderton North,E08000004,Oldham,25.3,11.9,0.9,24.2,0.1,0.4,0.1,0.2,0.1,25.7
E05011380,Withington,E08000003,Manchester,25,24.2,1.2,13.1,0.1,1,0.1,0.2,0.3,33
E05000836,Stretford,E08000009,Trafford,24.8,16.6,0.6,14.3,0.1,0.4,0.2,0.2,0.2,28.6
E05000720,Chadderton Central,E08000004,Oldham,24.5,11,0.4,23.2,0.1,0.5,0.1,0.2,0.1,23.3
E05000829,Gorse Hill,E08000009,Trafford,24.5,14.4,-0,21.2,0.1,0.5,0.2,0.2,0.2,30.1
E05000679,Radcliffe North,E08000002,Bury,24.2,15.7,0.4,20.1,0.1,0.5,0.1,0.1,0.2,18
E05000775,Walkden South,E08000006,Salford,23.9,17.4,0.8,15.4,0.1,0.6,0.1,0.2,0.1,22.7
E05000782,Bredbury Green and Romiley,E08000007,Stockport,23.9,17,0.4,23.4,0.1,0.5,0.1,0.2,0.1,13.4
E05000848,Golborne and Lowton West,E08000010,Wigan,23.8,10.1,0.1,27.4,0.1,0.5,0.2,0.2,0.2,13.2
E05000803,Audenshaw,E08000008,Tameside,23.5,14.5,0.8,19.5,0.1,0.5,0.1,0.2,0.1,27.9
E05000815,Mossley,E08000008,Tameside,23.3,14.1,0.2,14.3,0.1,0.6,0.1,0.2,0.2,28.1
E05000781,Bredbury and Woodley,E08000007,Stockport,23.1,14.9,0.5,25.4,0.1,0.5,0.1,0.1,0.1,21.2
E05000861,Wigan Central,E08000010,Wigan,23.1,10.4,0.6,16.8,0.1,0.5,0.1,0.1,0.2,20.8
E05000832,Longford,E08000009,Trafford,23,17.5,0.1,14.4,0.1,0.1,0.2,0.2,0.2,21.8
E05000846,Bryn,E08000010,Wigan,22.6,11.8,0,20.9,0.1,0.6,0.1,0.2,0.2,11.9
E05000744,Healey,E08000005,Rochdale,22.5,19,0.7,18.6,0.1,0.5,0.1,0.2,0.1,11.6
E05000818,Stalybridge South,E08000008,Tameside,22.5,13.4,0.5,17.3,0.1,0.4,0.1,0.2,0.1,21.4
E05000664,Little Lever and Darcy Lever,E08000001,Bolton,22.3,11.1,0.4,21.7,0.1,0.4,0.1,0.1,0.1,19.3
E05000860,Tyldesley,E08000010,Wigan,21.9,14.6,0.4,19.7,0.1,0.3,0.1,0.1,0.2,14.2
E05000661,Horwich North East,E08000001,Bolton,21.8,15.4,0.5,15.8,0.1,0.3,0.1,0.2,0.1,23.8
E05011361,Deansgate,E08000003,Manchester,21.8,31.6,1,14.7,0,0.5,0,0,0.1,60.9
E05000834,St Mary's,E08000009,Trafford,21.3,18.5,0.2,14.9,0.1,0.1,0.1,0.2,0.1,7.8
E05000747,Littleborough Lakeside,E08000005,Rochdale,21.2,18.1,0.5,15.2,0.1,0.6,0.1,0.1,0.1,22.7
E05000729,Royton North,E08000004,Oldham,21.1,12.5,0.9,19.2,0.1,0.4,0.1,0.1,0.1,18.9
E05000730,Royton South,E08000004,Oldham,21.1,8.4,0.8,18.9,0.1,0.5,0.1,0.1,0.1,23.5
E05000674,Holyrood,E08000002,Bury,20.8,14.6,0.3,14.3,0.1,0.1,0.1,0.2,0.1,28.6
E05000806,Denton West,E08000008,Tameside,20.1,13,0.2,18.1,0.1,0.6,0.1,0.1,0.1,25.4
E05000660,Horwich and Blackrod,E08000001,Bolton,20,12.2,0.2,15.3,0.1,0.4,0.1,0.1,0.1,20.5
E05000754,South Middleton,E08000005,Rochdale,19.7,10.9,0.7,15.8,0.1,0.4,0.1,0.1,0.1,16.4
E05000724,Crompton,E08000004,Oldham,19.6,6.9,0.4,16.9,0.1,0.6,0.1,0.1,0.1,15.6
E05000686,Unsworth,E08000002,Bury,19.2,11.6,0.3,13.2,0.1,0.1,0.1,0.1,0.1,17.4
E05000669,Westhoughton South,E08000001,Bolton,19.1,13.4,0.1,15.9,0.1,0.4,0.1,0.2,0.1,15.9
E05000673,Elton,E08000002,Bury,19,12.1,0.1,16.1,0.1,0.2,0.1,0.1,0.1,25.6
E05000763,Claremont,E08000006,Salford,19,13.3,0.1,13.8,0.1,0.7,0.1,0.1,0.1,31.7
E05000733,Saddleworth West and Lees,E08000004,Oldham,18.9,7.8,0.5,16.7,0.1,0.3,0.1,0.1,0.1,21.1
E05000749,Milnrow and Newhey,E08000005,Rochdale,18.8,12,0.5,14.6,0.1,0.6,0.1,0.1,0.1,17.8
E05000842,Aspull New Springs Whelley,E08000010,Wigan,18.7,17.1,-0,16.6,0.1,0.5,0.1,0.1,0.1,9.6
E05000651,Bradshaw,E08000001,Bolton,18.6,14.3,0.1,17.3,0.1,0.3,0.1,0.2,0.1,12.1
E05000740,Bamford,E08000005,Rochdale,18.6,14.1,0.7,14.1,0.1,0.3,0.1,0.2,0.1,9.9
E05000650,Astley Bridge,E08000001,Bolton,18.3,12.3,0.3,14.5,0.1,0.1,0.1,0.1,0.1,24.4
E05000838,Urmston,E08000009,Trafford,18.1,13.7,-0.1,11,0.1,0.3,0.1,0.1,0.2,32
E05000835,Sale Moor,E08000009,Trafford,18,11,0.2,13.1,0.1,0.1,0.1,0.1,0.1,19.2
E05011362,Didsbury East,E08000003,Manchester,18,22.3,0.9,2.5,0.1,0.4,0.1,0.1,0.1,33.2
E05011357,Chorlton,E08000003,Manchester,17.6,16.4,0.5,2.7,0.1,0.5,0.1,0.1,0.2,35.6
E05000684,Sedgley,E08000002,Bury,17.5,11.7,0.3,12.9,0.1,0,0.1,0.1,0.2,18.3
E05000791,Heatons North,E08000007,Stockport,17.1,13.2,0.6,8.1,0.1,0.1,0.1,0.1,0.1,26.4
E05000839,Village,E08000009,Trafford,17.1,13.9,0,13,0.1,-0,0.1,0.1,0.1,14.6
E05000671,Church,E08000002,Bury,17,12,0,11,0.1,0.1,0.1,0.1,0.1,19
E05000841,Ashton,E08000010,Wigan,16.9,14.3,-0,14.5,0.1,0.4,0.1,0.1,0.1,13
E05000785,Cheadle Hulme North,E08000007,Stockport,16.6,11.7,0.3,11.6,0.1,0.3,0.1,0.1,0.1,20.1
E05000756,Wardle and West Littleborough,E08000005,Rochdale,16.2,13.5,0.5,12.7,0.1,0.3,0.1,0.1,0.1,16.5
E05000850,Hindley Green,E08000010,Wigan,15.7,10.7,-0.2,19.5,0.1,0.3,0.1,0.1,0.1,10.6
E05011363,Didsbury West,E08000003,Manchester,15.7,21.1,0.7,3.2,0,0.5,0.1,0.1,0.2,26.7
E05000784,Cheadle and Gatley,E08000007,Stockport,15.1,15,0.6,6.6,0.1,0.1,0.1,0.1,0.1,17.1
E05000668,Westhoughton North and Chew Moor,E08000001,Bolton,14.7,17.3,-0,10.8,0.1,0.1,0.1,0.1,0.1,19.9
