date,latitude,longitude
"2018-11-28 15:40:52",53.422254,-2.330221
"2018-11-28 15:41:02",53.422071,-2.330259
"2018-11-28 15:41:52",53.421979,-2.330503
"2018-11-28 15:41:57",53.421989,-2.330531
"2018-11-28 15:43:07",53.421775,-2.330516
"2018-11-28 15:45:12",53.421953,-2.330447
"2018-11-28 15:48:02",53.422181,-2.330608
"2018-11-28 15:48:32",53.421989,-2.330456
"2018-11-28 15:48:47",53.421999,-2.33084
"2018-11-28 15:48:52",53.422143,-2.331167
"2018-11-28 15:49:16",53.422335,-2.331107
"2018-11-28 15:49:25",53.422513,-2.331034
"2018-11-28 15:49:32",53.421582,-2.330823
"2018-11-28 15:49:39",53.421778,-2.330741
"2018-11-28 15:49:52",53.421956,-2.330502
"2018-11-28 15:49:58",53.422206,-2.330231
"2018-11-28 15:51:28",53.421734,-2.330055
"2018-11-28 15:52:17",53.421734,-2.330055
"2018-11-28 15:54:25",53.421852,-2.330446
"2018-11-28 15:55:56",53.421852,-2.330135
"2018-11-28 15:56:19",53.438412,-2.360365
"2018-11-28 15:56:30",53.438038,-2.360283
"2018-11-28 15:56:35",53.438385,-2.360675
"2018-11-28 15:57:16",53.422458,-2.332693
"2018-11-28 15:57:21",53.421717,-2.331032
"2018-11-28 15:57:26",53.421393,-2.330043
"2018-11-28 15:57:31",53.421153,-2.329538
"2018-11-28 15:57:36",53.421392,-2.329942
"2018-11-28 15:57:46",53.421607,-2.33015
"2018-11-28 15:58:16",53.421429,-2.33022
"2018-11-28 15:59:57",53.421608,-2.330261
"2018-11-28 16:01:17",53.422299,-2.330462
"2018-11-28 16:01:53",53.422135,-2.330337
"2018-11-28 16:02:07",53.421961,-2.330242
"2018-11-28 16:02:32",53.421944,-2.329935
"2018-11-28 16:02:45",53.421872,-2.330233
"2018-11-28 16:03:02",53.421863,-2.330324
"2018-11-28 16:03:12",53.421984,-2.330859
"2018-11-28 16:04:07",53.421839,-2.330655
"2018-11-28 16:04:22",53.421713,-2.330394
"2018-11-28 16:04:46",53.42148,-2.330507
"2018-11-28 16:05:07",53.421637,-2.330317
"2018-11-28 16:05:22",53.421198,-2.329332
"2018-11-28 16:05:27",53.420822,-2.328472
"2018-11-28 16:07:19",53.421477,-2.32961
"2018-11-28 16:07:20",53.421923,-2.330345
"2018-11-28 16:08:20",53.422089,-2.330215
"2018-11-28 16:08:39",53.421909,-2.330156
"2018-11-28 16:08:53",53.422169,-2.330154
"2018-11-28 16:09:50",53.422219,-2.330462
"2018-11-28 16:10:25",53.422069,-2.330661
"2018-11-28 16:10:52",53.421738,-2.33046
"2018-11-28 16:10:58",53.421564,-2.330319
"2018-11-28 16:11:02",53.421345,-2.330085
"2018-11-28 16:11:12",53.421172,-2.330472
"2018-11-28 16:11:17",53.42089,-2.330553
"2018-11-28 16:11:32",53.421245,-2.33032
"2018-11-28 16:12:04",53.421844,-2.330499
"2018-11-28 16:13:09",53.421956,-2.330559
"2018-11-28 16:15:40",53.421734,-2.330055
"2018-11-28 16:23:13",53.421734,-2.330055
"2018-11-28 16:33:26",53.421734,-2.330055
"2018-11-28 16:43:30",53.421734,-2.330055
"2018-11-28 16:46:18",53.422702,-2.330416
"2018-11-28 16:46:47",53.421818,-2.330454
"2018-11-28 16:47:09",53.422357,-2.330498
"2018-11-28 16:47:19",53.422163,-2.330462
"2018-11-28 16:48:04",53.421986,-2.330537
"2018-11-28 16:48:19",53.421814,-2.330442
"2018-11-28 16:48:44",53.421634,-2.330402
"2018-11-28 16:49:13",53.421875,-2.330452
"2018-11-28 16:49:36",53.421734,-2.330055
"2018-11-28 16:49:42",53.421933,-2.330298
"2018-11-28 16:50:27",53.421683,-2.330282
"2018-11-28 16:52:10",53.421862,-2.330452
"2018-11-28 16:53:15",53.422413,-2.331002
"2018-11-28 16:53:35",53.422413,-2.331002
"2018-11-28 16:54:39",53.422208,-2.330716
"2018-11-28 16:54:53",53.422036,-2.330476
"2018-11-28 16:55:03",53.421853,-2.330222
"2018-11-28 17:03:30",53.421717,-2.330521
"2018-11-28 17:03:43",53.421717,-2.330522
"2018-11-30 10:04:47",53.42226,-2.330645
"2018-11-30 10:04:58",53.421997,-2.33047
"2018-11-30 10:06:37",53.422004,-2.33044
"2018-11-30 10:10:58",53.421811,-2.330398
"2018-11-30 10:16:58",53.421992,-2.330409
"2018-11-30 10:17:08",53.422004,-2.330376
"2018-11-30 10:27:13",53.421959,-2.33043
"2018-11-30 10:30:18",53.421808,-2.330356
"2018-11-30 10:38:08",53.421891,-2.33047
"2018-11-30 10:40:33",53.421982,-2.330275
"2018-11-30 10:40:53",53.422209,-2.330458
"2018-11-30 10:41:48",53.422018,-2.330482
"2018-11-30 10:49:03",53.421959,-2.330467
"2018-11-30 10:51:04",53.421935,-2.330215
"2018-11-30 10:53:03",53.422297,-2.330247
"2018-11-30 10:53:08",53.422543,-2.330197
"2018-11-30 10:53:13",53.422788,-2.330123
"2018-11-30 10:53:18",53.422997,-2.330102
"2018-11-30 10:54:02",53.421957,-2.330491
"2018-11-30 10:54:32",53.422185,-2.330459
"2018-11-30 10:54:42",53.42239,-2.330484
"2018-11-30 10:55:17",53.42226,-2.330697
"2018-11-30 10:55:47",53.421798,-2.330228
"2018-11-30 11:00:00",53.421793,-2.32993
"2018-11-30 11:11:04",53.421734,-2.330055
"2018-11-30 11:14:38",53.421965,-2.330417
"2018-11-30 11:17:19",53.422167,-2.330127
"2018-11-30 11:17:49",53.42199,-2.329887
"2018-11-30 11:18:19",53.422016,-2.330207
"2018-11-30 11:21:34",53.422107,-2.330269
"2018-11-30 11:23:33",53.422115,-2.330461
"2018-11-30 11:24:04",53.423683,-2.333345
"2018-11-30 11:24:09",53.423973,-2.333517
"2018-11-30 11:24:19",53.4238,-2.333402
"2018-11-30 11:24:28",53.423613,-2.333365
"2018-11-30 11:24:40",53.423767,-2.333122
"2018-11-30 11:25:10",53.423977,-2.333105
"2018-11-30 11:25:17",53.422921,-2.331979
"2018-11-30 11:27:21",53.421734,-2.330055
"2018-11-30 11:28:08",53.422487,-2.330688
"2018-11-30 11:28:48",53.42231,-2.330577
"2018-11-30 11:28:55",53.422131,-2.330473
"2018-11-30 11:29:47",53.421734,-2.330055
"2018-11-30 11:30:17",53.42152,-2.330213
"2018-11-30 11:30:56",53.421729,-2.330065
"2018-11-30 11:32:36",53.421734,-2.330055
"2018-11-30 11:42:41",53.421734,-2.330055
"2018-11-30 11:53:45",53.421734,-2.330055
"2018-11-30 12:04:53",53.421734,-2.330055
"2018-11-30 12:15:47",53.421734,-2.330055
"2018-11-30 12:16:23",53.422103,-2.347466
"2018-11-30 12:26:59",53.422103,-2.347466
"2018-11-30 12:34:05",53.421734,-2.330055
"2018-11-30 12:37:59",53.421734,-2.330055
"2018-11-30 12:45:08",53.421091,-2.330123
"2018-11-30 12:45:18",53.421634,-2.330066
"2018-11-30 12:45:45",53.421416,-2.330093
"2018-11-30 12:45:56",53.421439,-2.329733
"2018-11-30 12:46:40",53.42142,-2.330577
"2018-11-30 12:47:11",53.421438,-2.329567
"2018-11-30 12:48:17",53.42142,-2.330577
"2018-11-30 12:48:47",53.42142,-2.330577
"2018-11-30 12:49:25",53.42142,-2.330577
"2018-11-30 12:49:43",53.421922,-2.330253
"2018-11-30 12:50:08",53.42178,-2.329967
"2018-11-30 12:50:23",53.421617,-2.329817
"2018-11-30 12:50:43",53.421608,-2.330181
"2018-11-30 12:51:03",53.421677,-2.330547
"2018-11-30 12:51:18",53.421758,-2.330828
"2018-11-30 12:51:38",53.421903,-2.331133
"2018-11-30 12:51:53",53.421968,-2.331447
"2018-11-30 12:52:08",53.422062,-2.33173
"2018-11-30 12:52:23",53.422104,-2.332033
"2018-11-30 12:52:38",53.422198,-2.332391
"2018-11-30 12:52:58",53.422281,-2.332728
"2018-11-30 12:53:13",53.42236,-2.333118
"2018-11-30 12:53:22",53.422438,-2.333393
"2018-11-30 12:53:38",53.422593,-2.333566
"2018-11-30 12:53:53",53.422766,-2.333651
"2018-11-30 12:54:08",53.422958,-2.333661
"2018-11-30 12:54:28",53.423189,-2.333712
