area_name,country_of_birth,value,order
Old Trafford,Europe: United Kingdom: Total,6435,0
Old Trafford,Europe: Channel Islands not otherwise specified,1,3
Old Trafford,Europe: Isle of Man,5,4
Old Trafford,Europe: Ireland,179,5
Old Trafford,Europe: Other Europe: EU countries: Member countries in March 2001: France,12,6
Old Trafford,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,42,7
Old Trafford,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,14,8
Old Trafford,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal,9,9
Old Trafford,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),15,10
Old Trafford,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,96,11
Old Trafford,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania,11,12
Old Trafford,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,327,13
Old Trafford,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania,16,14
Old Trafford,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,84,15
Old Trafford,Europe: Other Europe: Rest of Europe: Turkey,4,16
Old Trafford,Europe: Other Europe: Rest of Europe: Other Europe,22,17
Old Trafford,Africa: Central and Western Africa: Ghana,23,18
Old Trafford,Africa: Central and Western Africa: Nigeria,84,19
Old Trafford,Africa: Central and Western Africa: Other Central and Western Africa,68,20
Old Trafford,Africa: South and Eastern Africa: Kenya,43,21
Old Trafford,Africa: South and Eastern Africa: Somalia,197,22
Old Trafford,Africa: South and Eastern Africa: South Africa,28,23
Old Trafford,Africa: South and Eastern Africa: Zimbabwe,32,24
Old Trafford,Africa: South and Eastern Africa: Other South and Eastern Africa,146,25
Old Trafford,Africa: Africa not otherwise specified,6,26
Old Trafford,Middle East and Asia: Middle East: Iran,34,27
Old Trafford,Middle East and Asia: Middle East: Other Middle East,99,28
Old Trafford,Middle East and Asia: Eastern Asia: China,45,29
Old Trafford,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),17,30
Old Trafford,Middle East and Asia: Eastern Asia: Other Eastern Asia,14,31
Old Trafford,Middle East and Asia: Southern Asia: Bangladesh,49,32
Old Trafford,Middle East and Asia: Southern Asia: India,557,33
Old Trafford,Middle East and Asia: Southern Asia: Pakistan,538,34
Old Trafford,Middle East and Asia: Southern Asia: Sri Lanka,13,35
Old Trafford,Middle East and Asia: Southern Asia: Other Southern Asia,117,36
Old Trafford,Middle East and Asia: South-East Asia: Philippines,3,37
Old Trafford,Middle East and Asia: South-East Asia: Other South-East Asia,66,38
Old Trafford,Middle East and Asia: Central Asia,1,39
Old Trafford,The Americas and the Caribbean: North America: United States,22,40
Old Trafford,The Americas and the Caribbean: North America: Other North America,9,41
Old Trafford,The Americas and the Caribbean: Central America,7,42
Old Trafford,The Americas and the Caribbean: South America,33,43
Old Trafford,The Americas and the Caribbean: The Caribbean: Jamaica,395,44
Old Trafford,The Americas and the Caribbean: The Caribbean: Other Caribbean,81,45
Old Trafford,Antarctica and Oceania: Australasia: Australia,12,47
Old Trafford,Antarctica and Oceania: Australasia: Other Australasia,5,48
Old Trafford,Antarctica and Oceania: Other Oceania,2,49
Trafford Park West & Kingsway Park,Europe: United Kingdom: Total,7169,0
Trafford Park West & Kingsway Park,Europe: Jersey,1,2
Trafford Park West & Kingsway Park,Europe: Isle of Man,5,4
Trafford Park West & Kingsway Park,Europe: Ireland,150,5
Trafford Park West & Kingsway Park,Europe: Other Europe: EU countries: Member countries in March 2001: France,6,6
Trafford Park West & Kingsway Park,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,10,7
Trafford Park West & Kingsway Park,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,2,8
Trafford Park West & Kingsway Park,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal,1,9
Trafford Park West & Kingsway Park,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),4,10
Trafford Park West & Kingsway Park,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,7,11
Trafford Park West & Kingsway Park,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania,1,12
Trafford Park West & Kingsway Park,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,3,13
Trafford Park West & Kingsway Park,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,19,15
Trafford Park West & Kingsway Park,Europe: Other Europe: Rest of Europe: Turkey,4,16
Trafford Park West & Kingsway Park,Europe: Other Europe: Rest of Europe: Other Europe,12,17
Trafford Park West & Kingsway Park,Africa: Central and Western Africa: Ghana,4,18
Trafford Park West & Kingsway Park,Africa: Central and Western Africa: Nigeria,2,19
Trafford Park West & Kingsway Park,Africa: South and Eastern Africa: Kenya,2,21
Trafford Park West & Kingsway Park,Africa: South and Eastern Africa: Somalia,1,22
Trafford Park West & Kingsway Park,Africa: South and Eastern Africa: South Africa,8,23
Trafford Park West & Kingsway Park,Africa: South and Eastern Africa: Zimbabwe,5,24
Trafford Park West & Kingsway Park,Africa: South and Eastern Africa: Other South and Eastern Africa,14,25
Trafford Park West & Kingsway Park,Africa: Africa not otherwise specified,1,26
Trafford Park West & Kingsway Park,Middle East and Asia: Middle East: Iran,3,27
Trafford Park West & Kingsway Park,Middle East and Asia: Middle East: Other Middle East,19,28
Trafford Park West & Kingsway Park,Middle East and Asia: Eastern Asia: China,17,29
Trafford Park West & Kingsway Park,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),15,30
Trafford Park West & Kingsway Park,Middle East and Asia: Eastern Asia: Other Eastern Asia,8,31
Trafford Park West & Kingsway Park,Middle East and Asia: Southern Asia: India,44,33
Trafford Park West & Kingsway Park,Middle East and Asia: Southern Asia: Pakistan,22,34
Trafford Park West & Kingsway Park,Middle East and Asia: Southern Asia: Sri Lanka,4,35
Trafford Park West & Kingsway Park,Middle East and Asia: South-East Asia: Philippines,9,37
Trafford Park West & Kingsway Park,Middle East and Asia: South-East Asia: Other South-East Asia,16,38
Trafford Park West & Kingsway Park,The Americas and the Caribbean: North America: United States,5,40
Trafford Park West & Kingsway Park,The Americas and the Caribbean: Central America,1,42
Trafford Park West & Kingsway Park,The Americas and the Caribbean: South America,9,43
Trafford Park West & Kingsway Park,The Americas and the Caribbean: The Caribbean: Jamaica,13,44
Trafford Park West & Kingsway Park,The Americas and the Caribbean: The Caribbean: Other Caribbean,5,45
Trafford Park West & Kingsway Park,Antarctica and Oceania: Australasia: Australia,5,47
Trafford Park West & Kingsway Park,Antarctica and Oceania: Australasia: Other Australasia,1,48
Trafford Park West & Kingsway Park,Antarctica and Oceania: Other Oceania,1,49
Gorse Hill,Europe: United Kingdom: Total,6966,0
Gorse Hill,Europe: Channel Islands not otherwise specified,3,3
Gorse Hill,Europe: Isle of Man,1,4
Gorse Hill,Europe: Ireland,216,5
Gorse Hill,Europe: Other Europe: EU countries: Member countries in March 2001: France,8,6
Gorse Hill,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,39,7
Gorse Hill,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,6,8
Gorse Hill,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal,3,9
Gorse Hill,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),10,10
Gorse Hill,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,20,11
Gorse Hill,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania,1,12
Gorse Hill,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,132,13
Gorse Hill,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania,9,14
Gorse Hill,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,65,15
Gorse Hill,Europe: Other Europe: Rest of Europe: Turkey,5,16
Gorse Hill,Europe: Other Europe: Rest of Europe: Other Europe,17,17
Gorse Hill,Africa: Central and Western Africa: Ghana,7,18
Gorse Hill,Africa: Central and Western Africa: Nigeria,24,19
Gorse Hill,Africa: Central and Western Africa: Other Central and Western Africa,11,20
Gorse Hill,Africa: South and Eastern Africa: Kenya,29,21
Gorse Hill,Africa: South and Eastern Africa: Somalia,16,22
Gorse Hill,Africa: South and Eastern Africa: South Africa,16,23
Gorse Hill,Africa: South and Eastern Africa: Zimbabwe,7,24
Gorse Hill,Africa: South and Eastern Africa: Other South and Eastern Africa,38,25
Gorse Hill,Africa: Africa not otherwise specified,2,26
Gorse Hill,Middle East and Asia: Middle East: Iran,24,27
Gorse Hill,Middle East and Asia: Middle East: Other Middle East,27,28
Gorse Hill,Middle East and Asia: Eastern Asia: China,26,29
Gorse Hill,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),14,30
Gorse Hill,Middle East and Asia: Eastern Asia: Other Eastern Asia,1,31
Gorse Hill,Middle East and Asia: Southern Asia: Bangladesh,12,32
Gorse Hill,Middle East and Asia: Southern Asia: India,100,33
Gorse Hill,Middle East and Asia: Southern Asia: Pakistan,185,34
Gorse Hill,Middle East and Asia: Southern Asia: Other Southern Asia,2,36
Gorse Hill,Middle East and Asia: South-East Asia: Philippines,8,37
Gorse Hill,Middle East and Asia: South-East Asia: Other South-East Asia,22,38
Gorse Hill,The Americas and the Caribbean: North America: United States,12,40
Gorse Hill,The Americas and the Caribbean: North America: Other North America,16,41
Gorse Hill,The Americas and the Caribbean: Central America,2,42
Gorse Hill,The Americas and the Caribbean: South America,11,43
Gorse Hill,The Americas and the Caribbean: The Caribbean: Jamaica,100,44
Gorse Hill,The Americas and the Caribbean: The Caribbean: Other Caribbean,17,45
Gorse Hill,Antarctica and Oceania: Australasia: Australia,13,47
Gorse Hill,Antarctica and Oceania: Australasia: Other Australasia,2,48
Gorse Hill,Antarctica and Oceania: Other Oceania,1,49
Firswood,Europe: United Kingdom: Total,6047,0
Firswood,Europe: Jersey,1,2
Firswood,Europe: Channel Islands not otherwise specified,1,3
Firswood,Europe: Ireland,225,5
Firswood,Europe: Other Europe: EU countries: Member countries in March 2001: France,23,6
Firswood,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,21,7
Firswood,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,23,8
Firswood,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal,2,9
Firswood,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),20,10
Firswood,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,32,11
Firswood,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania,3,12
Firswood,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,116,13
Firswood,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania,3,14
Firswood,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,48,15
Firswood,Europe: Other Europe: Rest of Europe: Turkey,1,16
Firswood,Europe: Other Europe: Rest of Europe: Other Europe,12,17
Firswood,Africa: Central and Western Africa: Ghana,13,18
Firswood,Africa: Central and Western Africa: Nigeria,6,19
Firswood,Africa: Central and Western Africa: Other Central and Western Africa,10,20
Firswood,Africa: South and Eastern Africa: Kenya,34,21
Firswood,Africa: South and Eastern Africa: Somalia,23,22
Firswood,Africa: South and Eastern Africa: South Africa,16,23
Firswood,Africa: South and Eastern Africa: Zimbabwe,18,24
Firswood,Africa: South and Eastern Africa: Other South and Eastern Africa,63,25
Firswood,Africa: Africa not otherwise specified,2,26
Firswood,Middle East and Asia: Middle East: Iran,20,27
Firswood,Middle East and Asia: Middle East: Other Middle East,79,28
Firswood,Middle East and Asia: Eastern Asia: China,34,29
Firswood,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),21,30
Firswood,Middle East and Asia: Eastern Asia: Other Eastern Asia,4,31
Firswood,Middle East and Asia: Southern Asia: Bangladesh,19,32
Firswood,Middle East and Asia: Southern Asia: India,219,33
Firswood,Middle East and Asia: Southern Asia: Pakistan,774,34
Firswood,Middle East and Asia: Southern Asia: Sri Lanka,8,35
Firswood,Middle East and Asia: Southern Asia: Other Southern Asia,14,36
Firswood,Middle East and Asia: South-East Asia: Philippines,3,37
Firswood,Middle East and Asia: South-East Asia: Other South-East Asia,34,38
Firswood,Middle East and Asia: Central Asia,1,39
Firswood,The Americas and the Caribbean: North America: United States,16,40
Firswood,The Americas and the Caribbean: North America: Other North America,8,41
Firswood,The Americas and the Caribbean: Central America,1,42
Firswood,The Americas and the Caribbean: South America,13,43
Firswood,The Americas and the Caribbean: The Caribbean: Jamaica,292,44
Firswood,The Americas and the Caribbean: The Caribbean: Other Caribbean,60,45
Firswood,Antarctica and Oceania: Australasia: Australia,4,47
Firswood,Antarctica and Oceania: Australasia: Other Australasia,3,48
Davyhulme,Europe: United Kingdom: Total,7618,0
Davyhulme,Europe: Guernsey,1,1
Davyhulme,Europe: Jersey,1,2
Davyhulme,Europe: Isle of Man,3,4
Davyhulme,Europe: Ireland,107,5
Davyhulme,Europe: Other Europe: EU countries: Member countries in March 2001: France,4,6
Davyhulme,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,25,7
Davyhulme,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,2,8
Davyhulme,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal,1,9
Davyhulme,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),7,10
Davyhulme,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,19,11
Davyhulme,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,14,13
Davyhulme,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,31,15
Davyhulme,Europe: Other Europe: Rest of Europe: Other Europe,4,17
Davyhulme,Africa: Central and Western Africa: Nigeria,5,19
Davyhulme,Africa: South and Eastern Africa: South Africa,13,23
Davyhulme,Africa: South and Eastern Africa: Zimbabwe,1,24
Davyhulme,Africa: South and Eastern Africa: Other South and Eastern Africa,17,25
Davyhulme,Africa: Africa not otherwise specified,1,26
Davyhulme,Middle East and Asia: Middle East: Iran,5,27
Davyhulme,Middle East and Asia: Middle East: Other Middle East,10,28
Davyhulme,Middle East and Asia: Eastern Asia: China,5,29
Davyhulme,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),6,30
Davyhulme,Middle East and Asia: Eastern Asia: Other Eastern Asia,7,31
Davyhulme,Middle East and Asia: Southern Asia: Bangladesh,2,32
Davyhulme,Middle East and Asia: Southern Asia: India,42,33
Davyhulme,Middle East and Asia: Southern Asia: Pakistan,38,34
Davyhulme,Middle East and Asia: Southern Asia: Other Southern Asia,3,36
Davyhulme,Middle East and Asia: South-East Asia: Philippines,4,37
Davyhulme,Middle East and Asia: South-East Asia: Other South-East Asia,13,38
Davyhulme,The Americas and the Caribbean: North America: United States,6,40
Davyhulme,The Americas and the Caribbean: North America: Other North America,4,41
Davyhulme,The Americas and the Caribbean: Central America,3,42
Davyhulme,The Americas and the Caribbean: South America,3,43
Davyhulme,The Americas and the Caribbean: The Caribbean: Jamaica,6,44
Davyhulme,The Americas and the Caribbean: The Caribbean: Other Caribbean,6,45
Davyhulme,Antarctica and Oceania: Australasia: Australia,5,47
Davyhulme,Antarctica and Oceania: Australasia: Other Australasia,3,48
Trafford Park East & Sevenways,Europe: United Kingdom: Total,7228,0
Trafford Park East & Sevenways,Europe: Isle of Man,6,4
Trafford Park East & Sevenways,Europe: Ireland,184,5
Trafford Park East & Sevenways,Europe: Other Europe: EU countries: Member countries in March 2001: France,10,6
Trafford Park East & Sevenways,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,15,7
Trafford Park East & Sevenways,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,3,8
Trafford Park East & Sevenways,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal,3,9
Trafford Park East & Sevenways,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),9,10
Trafford Park East & Sevenways,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,28,11
Trafford Park East & Sevenways,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,67,13
Trafford Park East & Sevenways,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania,2,14
Trafford Park East & Sevenways,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,38,15
Trafford Park East & Sevenways,Europe: Other Europe: Rest of Europe: Turkey,5,16
Trafford Park East & Sevenways,Europe: Other Europe: Rest of Europe: Other Europe,7,17
Trafford Park East & Sevenways,Africa: Central and Western Africa: Ghana,4,18
Trafford Park East & Sevenways,Africa: Central and Western Africa: Nigeria,5,19
Trafford Park East & Sevenways,Africa: Central and Western Africa: Other Central and Western Africa,7,20
Trafford Park East & Sevenways,Africa: South and Eastern Africa: Kenya,10,21
Trafford Park East & Sevenways,Africa: South and Eastern Africa: Somalia,1,22
Trafford Park East & Sevenways,Africa: South and Eastern Africa: South Africa,13,23
Trafford Park East & Sevenways,Africa: South and Eastern Africa: Zimbabwe,15,24
Trafford Park East & Sevenways,Africa: South and Eastern Africa: Other South and Eastern Africa,19,25
Trafford Park East & Sevenways,Africa: Africa not otherwise specified,2,26
Trafford Park East & Sevenways,Middle East and Asia: Middle East: Iran,12,27
Trafford Park East & Sevenways,Middle East and Asia: Middle East: Other Middle East,20,28
Trafford Park East & Sevenways,Middle East and Asia: Eastern Asia: China,25,29
Trafford Park East & Sevenways,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),15,30
Trafford Park East & Sevenways,Middle East and Asia: Eastern Asia: Other Eastern Asia,4,31
Trafford Park East & Sevenways,Middle East and Asia: Southern Asia: Bangladesh,8,32
Trafford Park East & Sevenways,Middle East and Asia: Southern Asia: India,81,33
Trafford Park East & Sevenways,Middle East and Asia: Southern Asia: Pakistan,147,34
Trafford Park East & Sevenways,Middle East and Asia: Southern Asia: Sri Lanka,4,35
Trafford Park East & Sevenways,Middle East and Asia: Southern Asia: Other Southern Asia,1,36
Trafford Park East & Sevenways,Middle East and Asia: South-East Asia: Philippines,13,37
Trafford Park East & Sevenways,Middle East and Asia: South-East Asia: Other South-East Asia,20,38
Trafford Park East & Sevenways,The Americas and the Caribbean: North America: United States,5,40
Trafford Park East & Sevenways,The Americas and the Caribbean: North America: Other North America,7,41
Trafford Park East & Sevenways,The Americas and the Caribbean: Central America,1,42
Trafford Park East & Sevenways,The Americas and the Caribbean: South America,3,43
Trafford Park East & Sevenways,The Americas and the Caribbean: The Caribbean: Jamaica,59,44
Trafford Park East & Sevenways,The Americas and the Caribbean: The Caribbean: Other Caribbean,24,45
Trafford Park East & Sevenways,Antarctica and Oceania: Australasia: Australia,7,47
Trafford Park East & Sevenways,Antarctica and Oceania: Australasia: Other Australasia,2,48
Flixton & Moorside,Europe: United Kingdom: Total,7755,0
Flixton & Moorside,Europe: Guernsey,2,1
Flixton & Moorside,Europe: Channel Islands not otherwise specified,1,3
Flixton & Moorside,Europe: Isle of Man,2,4
Flixton & Moorside,Europe: Ireland,110,5
Flixton & Moorside,Europe: Other Europe: EU countries: Member countries in March 2001: France,1,6
Flixton & Moorside,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,18,7
Flixton & Moorside,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,6,8
Flixton & Moorside,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),1,10
Flixton & Moorside,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,7,11
Flixton & Moorside,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,11,13
Flixton & Moorside,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,13,15
Flixton & Moorside,Europe: Other Europe: Rest of Europe: Turkey,6,16
Flixton & Moorside,Europe: Other Europe: Rest of Europe: Other Europe,8,17
Flixton & Moorside,Africa: Central and Western Africa: Nigeria,12,19
Flixton & Moorside,Africa: South and Eastern Africa: Kenya,3,21
Flixton & Moorside,Africa: South and Eastern Africa: Somalia,4,22
Flixton & Moorside,Africa: South and Eastern Africa: South Africa,8,23
Flixton & Moorside,Africa: South and Eastern Africa: Zimbabwe,3,24
Flixton & Moorside,Africa: South and Eastern Africa: Other South and Eastern Africa,6,25
Flixton & Moorside,Africa: Africa not otherwise specified,1,26
Flixton & Moorside,Middle East and Asia: Middle East: Iran,3,27
Flixton & Moorside,Middle East and Asia: Middle East: Other Middle East,8,28
Flixton & Moorside,Middle East and Asia: Eastern Asia: China,5,29
Flixton & Moorside,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),13,30
Flixton & Moorside,Middle East and Asia: Eastern Asia: Other Eastern Asia,3,31
Flixton & Moorside,Middle East and Asia: Southern Asia: India,32,33
Flixton & Moorside,Middle East and Asia: Southern Asia: Pakistan,8,34
Flixton & Moorside,Middle East and Asia: Southern Asia: Sri Lanka,3,35
Flixton & Moorside,Middle East and Asia: South-East Asia: Philippines,2,37
Flixton & Moorside,Middle East and Asia: South-East Asia: Other South-East Asia,10,38
Flixton & Moorside,The Americas and the Caribbean: North America: United States,8,40
Flixton & Moorside,The Americas and the Caribbean: North America: Other North America,5,41
Flixton & Moorside,The Americas and the Caribbean: South America,3,43
Flixton & Moorside,The Americas and the Caribbean: The Caribbean: Jamaica,4,44
Flixton & Moorside,The Americas and the Caribbean: The Caribbean: Other Caribbean,5,45
Flixton & Moorside,Antarctica and Oceania: Australasia: Australia,4,47
Flixton & Moorside,Antarctica and Oceania: Australasia: Other Australasia,2,48
Lostock & Stretford Meadows,Europe: United Kingdom: Total,6001,0
Lostock & Stretford Meadows,Europe: Jersey,1,2
Lostock & Stretford Meadows,Europe: Ireland,133,5
Lostock & Stretford Meadows,Europe: Other Europe: EU countries: Member countries in March 2001: France,4,6
Lostock & Stretford Meadows,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,22,7
Lostock & Stretford Meadows,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,4,8
Lostock & Stretford Meadows,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),1,10
Lostock & Stretford Meadows,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,15,11
Lostock & Stretford Meadows,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,67,13
Lostock & Stretford Meadows,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania,3,14
Lostock & Stretford Meadows,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,29,15
Lostock & Stretford Meadows,Europe: Other Europe: Rest of Europe: Turkey,2,16
Lostock & Stretford Meadows,Europe: Other Europe: Rest of Europe: Other Europe,13,17
Lostock & Stretford Meadows,Africa: Central and Western Africa: Ghana,2,18
Lostock & Stretford Meadows,Africa: Central and Western Africa: Nigeria,19,19
Lostock & Stretford Meadows,Africa: Central and Western Africa: Other Central and Western Africa,13,20
Lostock & Stretford Meadows,Africa: South and Eastern Africa: Kenya,4,21
Lostock & Stretford Meadows,Africa: South and Eastern Africa: Somalia,3,22
Lostock & Stretford Meadows,Africa: South and Eastern Africa: South Africa,9,23
Lostock & Stretford Meadows,Africa: South and Eastern Africa: Zimbabwe,7,24
Lostock & Stretford Meadows,Africa: South and Eastern Africa: Other South and Eastern Africa,18,25
Lostock & Stretford Meadows,Middle East and Asia: Middle East: Iran,10,27
Lostock & Stretford Meadows,Middle East and Asia: Middle East: Other Middle East,8,28
Lostock & Stretford Meadows,Middle East and Asia: Eastern Asia: China,24,29
Lostock & Stretford Meadows,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),5,30
Lostock & Stretford Meadows,Middle East and Asia: Eastern Asia: Other Eastern Asia,10,31
Lostock & Stretford Meadows,Middle East and Asia: Southern Asia: India,39,33
Lostock & Stretford Meadows,Middle East and Asia: Southern Asia: Pakistan,64,34
Lostock & Stretford Meadows,Middle East and Asia: Southern Asia: Other Southern Asia,3,36
Lostock & Stretford Meadows,Middle East and Asia: South-East Asia: Philippines,7,37
Lostock & Stretford Meadows,Middle East and Asia: South-East Asia: Other South-East Asia,13,38
Lostock & Stretford Meadows,The Americas and the Caribbean: North America: United States,9,40
Lostock & Stretford Meadows,The Americas and the Caribbean: North America: Other North America,5,41
Lostock & Stretford Meadows,The Americas and the Caribbean: Central America,4,42
Lostock & Stretford Meadows,The Americas and the Caribbean: South America,3,43
Lostock & Stretford Meadows,The Americas and the Caribbean: The Caribbean: Jamaica,37,44
Lostock & Stretford Meadows,The Americas and the Caribbean: The Caribbean: Other Caribbean,4,45
Lostock & Stretford Meadows,Antarctica and Oceania: Australasia: Australia,17,47
Lostock & Stretford Meadows,Antarctica and Oceania: Australasia: Other Australasia,2,48
Urmston East,Europe: United Kingdom: Total,6957,0
Urmston East,Europe: Guernsey,2,1
Urmston East,Europe: Jersey,2,2
Urmston East,Europe: Isle of Man,4,4
Urmston East,Europe: Ireland,142,5
Urmston East,Europe: Other Europe: EU countries: Member countries in March 2001: France,9,6
Urmston East,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,16,7
Urmston East,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,4,8
Urmston East,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),3,10
Urmston East,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,17,11
Urmston East,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania,1,12
Urmston East,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,42,13
Urmston East,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania,5,14
Urmston East,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,19,15
Urmston East,Europe: Other Europe: Rest of Europe: Turkey,1,16
Urmston East,Europe: Other Europe: Rest of Europe: Other Europe,6,17
Urmston East,Africa: Central and Western Africa: Nigeria,2,19
Urmston East,Africa: Central and Western Africa: Other Central and Western Africa,2,20
Urmston East,Africa: South and Eastern Africa: Kenya,1,21
Urmston East,Africa: South and Eastern Africa: South Africa,10,23
Urmston East,Africa: South and Eastern Africa: Zimbabwe,4,24
Urmston East,Africa: South and Eastern Africa: Other South and Eastern Africa,5,25
Urmston East,Middle East and Asia: Middle East: Iran,8,27
Urmston East,Middle East and Asia: Middle East: Other Middle East,8,28
Urmston East,Middle East and Asia: Eastern Asia: China,12,29
Urmston East,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),12,30
Urmston East,Middle East and Asia: Southern Asia: Bangladesh,8,32
Urmston East,Middle East and Asia: Southern Asia: India,29,33
Urmston East,Middle East and Asia: Southern Asia: Pakistan,11,34
Urmston East,Middle East and Asia: Southern Asia: Sri Lanka,4,35
Urmston East,Middle East and Asia: South-East Asia: Philippines,9,37
Urmston East,Middle East and Asia: South-East Asia: Other South-East Asia,16,38
Urmston East,The Americas and the Caribbean: North America: United States,12,40
Urmston East,The Americas and the Caribbean: North America: Other North America,8,41
Urmston East,The Americas and the Caribbean: South America,3,43
Urmston East,The Americas and the Caribbean: The Caribbean: Jamaica,5,44
Urmston East,The Americas and the Caribbean: The Caribbean: Other Caribbean,4,45
Urmston East,Antarctica and Oceania: Australasia: Australia,11,47
Urmston East,Antarctica and Oceania: Australasia: Other Australasia,2,48
Urmston East,Antarctica and Oceania: Other Oceania,2,49
Urmston West,Europe: United Kingdom: Total,6831,0
Urmston West,Europe: Guernsey,1,1
Urmston West,Europe: Jersey,1,2
Urmston West,Europe: Isle of Man,4,4
Urmston West,Europe: Ireland,123,5
Urmston West,Europe: Other Europe: EU countries: Member countries in March 2001: France,3,6
